"comment_id","comment_likes_count","comment_message","attacks"
"1000956853347243_1001460829963512",6,"Dear Congresswoman Plaskett. I have wrote to you so many times now and have had no reply back. We and the people of china are asking you to cosponsor H RES  752. And bring an end to the barbaric torture of innocent animals. Time is running out. Please watch the evidence video and you will fully understand why this has to stop. Animals are stolen from loving homes . Please if you have a heart then you will support us in ending this.  I hope to hear back from you on this matter. Thankyou.",0
"1001077266605113_1001078533271653",16,"Are American citizens on the watchlist convicted terrorists or suspected of being terrorists?  If it's the former, by all means, don't allow them to buy guns.  If the latter, what ""due process"" did they receive before getting put on the watchlist?  I suspect they received no due process (e.g. a day in court).  If so, there is no loophole, because they aren't ""terrorists"".  Furthermore, this ""loophole"" did not contribute to any of these recent incidents in our country.",0
"1001434629914597_1031839603541073",0,"Unbelievable level of incompetence!",1
"1002201783167582_1002971466423947",0,"Foster children are important, but how is it a Federal issue? We are 20 Trillion dollars in debt...focus on that and focus on removing Ryan as Speaker!",1
"1003156673090360_1003344909738203",0,"Unfortunately Mr. Stiver's voted ""YES"" for the huge spending Omnibus Bill.",0
"1004006699707786_1014164938691962",0,"About the water protectors why are the cops using brutal force on the American natives on there own land?...they are injuring them as i message you, while you are sitting on your ass!  Meanwhile in the largest citie streets there are the violent protesters burning and destroying the streets to protesting our USA constitution and nothing is done about them! So whats up congress just don't feel like doing their job?  Or is it you rather see people getting killed off for for fighting for their human rights....or is it that you rather pat backs and pay all that abuse the human rights of others!",1
"1005202546199878_1005281619525304",1,"This kind of garbage will always happen since Congress gave away its legislative powers to unelected bureaucrats.  These powers need to be returned to Congress.  “All legislative Powers herein granted shall be vested in a Congress of the United States, which shall consist of a Senate and House of Representatives.”                     Article I, Section 1",1
"1014543978579686_1014570861910331",2,"More greed over people by Coats.",1
"1015143698513487_1018554321505758",0,"Dear Representative Bost - the Export-Import Bank is unacceptable. This Crony Bank is a hub for CORPORATE WELFARE. It needs to go. The Ex-Im Bank must expire. Please represent the people and oppose the Ex-Im Bank!",1
"10152484857592693_10152485494512693",0,"Well, considering you cheated on your taxes and got away with it I'd say you are a great success.  I really mean that as Taxation is theft.",1
"10152625811192006_10152626322992006",0,"so basically the court system would become more of a mess since for just about every case you would call a special investigatory and prosecutor.  Perhaps the grand jury system is broken, but this sounds like it will break it more to me.",0
"10152671533595009_10152671876225009",0,"Shameful action by a bunch of uncaring ""right-wing"" haters!!",1
"10152690626017267_10152691722562267",0,"You couldn't beat your self out of a paper bag. Bunch of loser who don't care about the American people.",1
"10152694051832887_10152695509657887",0,"The key word in this statement is American, if you aren't a citizen why should you be allowed to vote?  If we are talking about felon's lack of voting rights that is a different topic all together, everyone knows our prison nation has a broken legal system.",1
"10152723189531074_10152726076266074",0,"Bullshit",1
"10152758240168380_10152794191918380",0,"Here's one of obama's a$$clowns who refuse to attend Prime Minister Netanyahu's address on Tuesday in Washington. Bibi will be sharing with Congress and America what's going on in the Middle East and Iran obtaining nuclear weapons. If you're a Patriot and mad as hell that these nitwits don't respect our friends and families in Israel, go to their facebook pages and DEMAND they quit acting like little brats and DO THEIR JOBS - they work for US, and are supposed to represent America - not barack hussien obama, the criminal-in-chief!",1
"10152836004878229_10152842918118229",2,"If you only knew what you are talking about.  Pathetic. Bush caused this with your help.",1
"10152844537833837_10152846585168837",0,"Dumb just dumb  - let's destroy the planet more - don't give me the story that it's safe because it is not !",1
"10152890197409607_10152899687299607",0,"GrassRoots America Is Standing Up and Taking Charge WHERE the congress-wimps, including simpson & labrador & crapo & risch, ARE Standing Down and Cowering and Caving and Aiding and Abetting bho's global-terrorism-agenda!  ""... his contest is an exercise in Free Spech and is being held, in part, to respond to the 'liberals' who criticized those gathered in Texas with Geller instead of criticizing the two Islamic men who walked up to a cartoon contest and opened fire. ...""  http://www.breitbart.com/big-government/2015/05/28/phoenix-bikers-sponsor-draw-muhammad-contest-on-friday/",1
"10152934290275009_10152934917145009",0,"These businesses are a cancer in our communities.",1
"10152936337551749_10152938445916749",2,"the black dude got alot of money and a new car for walking less miles to work a day then the white guy.  will the white guy get the same treatment as the black-i doubt it-america is finished",1
"10152981711650449_10152983520905449",0,"90% of the people who wrote a comment is dissapointed in you, I think you need to listen. Your a rhino and you cant hide anymore. How do you sleep at night? I can't believe I wasted my vote on you. Coward!!! Liar!!!",1
"10152996211088663_10152996899523663",0,"When are you & the rest of the house gonna start impeachment procedings on that worthless president..",1
"10153000263719422_10153001379279422",2,"We use our commissary regularly. It is more expensive to go out in town, even if the store does double coupons.",0
"10153010231522732_10153013175212732",64,"Your own website states ""I fight everyday to stimulate the economy through job creation, protect and restore environmental resources and make health care more affordable and more accessible.""  This bill does none of that, and is in fact a Job Killer.  You are not serving the people of NJ or the citizens of the USA with this bill, you are just serving the empowerment of the Federal Government and it's abusive intrusion into the lives of Americans.  You are serving the cause of national socialism with this insidious bill.  I pray that it is defeated in Congress, and with it you are defeated in your next election.  America needs more Patriots and less National Socialists.",1
