"lead_paragraph","datetime","_id","web_url"
"At Hostos Community College in the South Bronx, located in what the 2000 census found to be the nation's poorest Congressional district, 176 people have applied to study nursing this year, up from 135 in 2007. In Bayside, Queens, admissions officers at Queensborough Community College have been flooded with 200 applications in the past two months from students who recently obtained their high school equivalency diplomas but have had trouble finding work.",2008-11-11 00:00:00,"4fd2b43e8eb7c8105d8a67e8","http://www.nytimes.com/2008/11/11/nyregion/11cuny.html"
"WASHINGTON -- Companies spend millions of dollars each year complaining to Congress about burdensome laws and regulations, pressing their concerns in public campaigns and in private meetings. They rarely wait for invitations. Last month a senior House Republican, Representative Darrell Issa of California, nevertheless dispatched letters to 150 companies, trade groups and research organizations asking them to identify federal regulations that are restraining economic recovery and job growth.",2011-01-05 00:00:00,"4fd2b8148eb7c8105d8ad46b","http://www.nytimes.com/2011/01/05/business/economy/05letters.html"
"President Reagan today raised the question of whether the Federal Reserve Board should be placed under the authority of the Treasury Secretary. Answering questions at a political campaign appearance, Mr. Reagan said that in the past several weeks the Federal Reserve had been working well. But when the central bank was established, he noted, the Secretary of Treasury was its head, and he asked whether someone should reconsider whether such a system might work better than the current one. Reopens Sensitive Issue He did not elaborate, but the remark revived the sensitive issue of crimping the Federal Reserve's autonomous status in setting monetary policy and influencing interest rates and raised the question whether the Administration might still be considering exercising some sort of oversight over the Federal Reserve.",1982-09-18 00:00:00,"4fd125358eb7c8105d5eadf8","http://www.nytimes.com/1982/09/18/us/reagan-suggests-tighter-control-of-central-bank.html"
"When flight attendants were ordered by their union to cross the picket lines at Pan American World Airways last week it was further evidence that the strike, long regarded as labor's ultimate weapon, has lost much of its power in recent years. It was the second blow to the Transport Workers' Union, which called a strike on Feb. 28. The union, representing more than 5,000 baggage handlers, flight dispatchers and food service workers, demanded higher wages and better working conditions. But Pan Am, which has not had a profitable year since 1980, sought employee ''give-backs.'' A week after the strike shut down most of the airline's operations, the pilots' union broke ranks, reaching a back-to-work settlement with Pan Am.",1985-03-24 00:00:00,"4fd14c338eb7c8105d62abf5","http://www.nytimes.com/1985/03/24/weekinreview/why-walkouts-don-t-work-as-they-used-to.html"
"THE escalation of violence in the Middle East is undermining investor confidence that the recovering economy will lead to higher stock prices. The surprising strength of the American economy has been supporting the stock market with promises of a rebound in corporate earnings that have helped all three major indexes rebound from their lows for this year.",2002-04-03 00:00:00,"4fd273318eb7c8105d830911","http://www.nytimes.com/2002/04/03/business/markets-market-place-middle-east-strife-its-impact-oil-may-blunt-faith-recovery.html"
"WORLD trade is rising rapidly around the world, providing more evidence of a global recovery led by emerging economies. But some European countries are lagging, in part because they are not competitive with their neighbors. The accompanying charts show the changes in exports and imports for 12 countries -- four major industrial nations, four troubled members of the euro zone and four emerging economies.",2010-05-15 00:00:00,"4fd27cf78eb7c8105d8442b7","http://www.nytimes.com/2010/05/15/business/economy/15charts.html"
"A picture caption on Sept. 30 with an article about effects of the terrorist attacks on the American economy misidentified a damaged hotel near the World Trade Center. It was the Millenium, not the Marriott. The caption also misstated the number of people missing at the nearby Marriott. It was two, not none.",2001-10-21 00:00:00,"4fd2171a8eb7c8105d79231e","http://www.nytimes.com/2001/10/21/magazine/c-corrections-681512.html"
"As Scott McKinley eased his Jeep station wagon toward them, the sleek yearling steers drowsing in the warm dust of the trail heaved themselves to their feet and reluctantly moved away. ''This bunch will have to be sold soon, a lot sooner than I had planned,'' he said. They would go to market weighing much less than he had planned - he is paid by the pound - and at a price lower than he had expected. On a gentle slope across the small lake, his alfalfa fields were lush green patches against the beige range grass. ''They look good from here,'' Mr. McKinley said. ''But they've started the year dry and I'll be lucky to get two cuttings, instead of the usual four, off of them this summer. And if you come back in late July that grass will be burned away and that lake won't be much bigger than a decent puddle.''",1981-05-11 00:00:00,"4fd110948eb7c8105d5c691c","http://www.nytimes.com/1981/05/11/us/cost-squeeze-may-force-early-marketing-of-beef.html"
"WASHINGTON -- Janet L. Yellen, the vice chairwoman of the Federal Reserve, said Wednesday that the lackluster trajectory of the economic recovery might require the Fed to continue its efforts to bolster growth even beyond the end of 2014. In a speech in Manhattan, Ms. Yellen offered a rejoinder to recent remarks by other Fed officials and investors warning that the Fed would need to raise interest rates well before the end of 2014 to prevent an increase in the rate of inflation.",2012-04-12 00:00:00,"4fd100e88eb7c8105d5bbd8c","http://www.nytimes.com/2012/04/12/business/economy/fed-official-sees-long-road-back-for-economy.html"
"After they took power in January, the hard-line Republicans who dominate the House reached for a radical overhaul of American government, hoping to unravel the social safety net, cut taxes further for the wealthy and strip away regulation of business. Fortunately, thanks to defensive tactics by Democrats, they failed to achieve most of their agenda. But they still did significant damage in 2011 to many of the most important functions of government, and particularly to investments in education, training and transportation that the country will need for a sound economic recovery.",2011-12-31 00:00:00,"4fd2997c8eb7c8105d87706e","http://www.nytimes.com/2011/12/31/opinion/the-damage-from-republicans-of-2011.html"
